magnetic	[mægˈnetɪk] a. 磁的，有磁性的；有吸引力的
surgery	[ˈsɜːdʒərɪ] n. 外科学；外科手术；手术室，诊疗室
bibliography	[ˏbɪblɪˈɔgrəfɪ] n. 参考书目；书目；文献学
flexitime	[ˈfleksɪtaɪm] n. 弹性工作制
relevance	['reləvəns] n. 中肯，适当；相关性
emphasize	['emfəsaɪz] vt. 强调，着重
initial	|
clutch	|
feasible	[ˈfiːzəbl] a. 可行的，可能的；可做的，可实行的
track-and-field	track and field 田径
exposure	[ɪkˈspəuʒə(r)] n. 暴露；显露；接触；曝光
repel	[rɪˈpel] vt. 击退，驱逐；抵制，拒绝；使反感，使厌恶
occupy	[ˈɔkjupaɪ] vt. 占用，占领；（使）忙碌于；（使）从事
slip	|
abate	[əˈbeɪt] v. 减轻；降价
leukaemia	[luːˈkiːmɪə] n. 白血病
simulation	[ˌsɪmjuˈleɪʃn] n. 假装；模拟
impose	[ɪmˈpəuz] v. 把……强加于；征（税等）；处以（罚款、监禁等）
expectancy	[ɪk'spektənsɪ] n. 期待，期望；预期数额（如寿命等）
undetected	[ˌʌndɪˈtektɪd] a. 未被发现的
position	|
hide	|
observation	[ˏɔbzəˈveɪʃn] n. 观察，观测；监视；评述，评论
glamor	['glæmə] n. 魅力；诱惑力
consideration	[kənˏsɪdəˈreɪʃn] n. 考虑；思考；体谅
advertise	[ˈædvətaɪz] vt. 为……做广告；宣传；（在报刊、电视、广播中）公告，公布
vivid	[ˈvɪvɪd] a. 鲜艳的；生动的
guzzle	[ˈgʌzl] v. 狂饮，暴饮；大量消耗
lobby	|
periphery	[pəˈrɪfərɪ] n. 不重要的部分；外围
stove	[stəuv] n. 炉
sensational	[senˈseɪʃənl] a. 轰动性的，引起哗然的；耸人听闻的；极好的；绝妙的
rigorous	[ˈrɪgərəs] a. 严密的；严格的，严厉的；严酷的
corporate	__corpeorate__ [ˈkɔːpərət] a. 团体的，共同的；法人的，公司的
replace	[rɪˈpleɪs] vt. 代替；更换；把……放回原处
offend	[əˈfend] v. 冒犯；使厌恶；违犯
estrange	[ɪˈstreɪndʒ] vt. 使疏远，使分离
emeritus	[ɪˈmerɪtəs] a. 保留头衔而退休的，荣誉退休的
lounge	|
leaflet	|
monitor	|
discover	[dɪsˈkʌvə(r)] vt. 发现，找到；发觉
subtract	[səbˈtrækt] vt. 减去；去掉
peripheral	|
van	[væn] n. 运货车
laterality	[ˌlætə'rælɪtɪ] n. 对一侧面的偏重，偏向一侧状态
elaborate	|
captive	|
leopard	[ˈlepəd] n. 豹，美洲豹
robust	[rəuˈbʌst] a. 健壮的，强壮的；坚定的
vibrant	[ˈvaɪbrənt] a. 振动的；活泼的，充满生气的；兴奋的
instil	[ɪnˈstɪl] vt. 滴注；逐渐灌输；逐步培养（感受、思想等）
habitual	[həˈbɪtʃuəl] a. 惯常的，通常的
maintenance	[ˈmeɪntənəns] n. 维持；保养；抚养费
submarine	|
conversion	[kənˈvɜːʃn] n. 转化；转变，变换；兑换；改变信仰，皈依
discourage	[dɪˈskʌrɪdʒ] vt. 使泄气，使灰心；阻止，劝阻
lane	[leɪn] n. 小巷；行车道
downpour	[ˈdaunpɔː(r)] n. 暴雨
corrode	[kəˈrəud] v. 腐蚀；侵蚀
polish	|
setting	[ˈsetɪŋ] n. 环境；背景；安置
Cantonese	[ˏkæntəˈniːz] n./a. 广东人（的）；广东话（的）
qualification	[ˏkwɔlɪfɪˈkeɪʃn] n. 资格，合格；技能；限定，条件；合格证
intrusion	[ɪnˈtruːʒn] n. 闯入；打搅；侵扰
horror	[ˈhɔrə(r)] n. 害怕，恐怖
geographical	[ˌdʒi:ə'ɡræfɪkl] a. 地理学的；地理的
navigation	[ˌnævɪˈgeɪʃn] n. 航空，航海，航行；导航，领航
industrialise	[ɪn'dʌstrɪəlaɪz] v. （使）工业化
surge	|
cube	[kjuːb] n. 立方形；立方
boundary	[ˈbaundrɪ] n. 分界线；边界
propel	[prəˈpel] vt. 推进，推动；驱使
execute	[ˈeksɪkjuːt] vt. 将……处死；实施，执行
vile	[vaɪl] a. 糟糕透顶的，可恶的；恶劣的，卑鄙的
complicated	['kɒmplɪkeɪtɪd] a. 复杂的；难懂的
legitimacy	[lɪ'dʒɪtɪməsɪ] n. 合法性；正统性
promotion	[prəˈməuʃn] n. 提升，晋级；促进，增进；发起，发扬；宣传，推销
glutamate	['glu:təˌmeɪt] n. 谷氨酸；谷酸盐
shrink	[ʃrɪŋk] v. （使）收缩；萎缩
afford	[əˈfɔːd] v. 负担得起
magnitude	[ˈmægnɪtjuːd] n. 广大，巨大；重要，重要性；星体的亮度
involve	[ɪnˈvɔlv] vt. 使卷入，使参与；牵涉，陷入，连累；包含，含有
gelatin	['dʒelətɪn] n. 明胶
tense	|
appoint	[əˈpɔɪnt] vt. 任命，委任；指定（时间、地点等）
pregnant	[ˈpregnənt] a. 怀孕的，妊娠的；充满的
inversion	[ɪnˈvɜːʃn] n. 倒置，颠倒
glide	[glaɪd] vi./n. 滑行，滑翔
residence	[ˈrezɪdəns] n. 住宅，住处；居住
item	[ˈaɪtəm] n. 条款，项目； （新闻等）一则
buffalo	[ˈbʌfələu] n. 水牛；（北美）野牛
large-scale	[lɑ:dʒ skeɪl] a. 大规模的，大范围的
summit	[ˈsʌmɪt] n. （山等的）最高点，峰顶
respondent	[rɪˈspɔndənt] n. 回答者，响应者；调查对象；被告
dubious	[ˈdjuːbɪəs] a. 怀疑的；靠不住的，不确定的
differ	[ˈdɪfə(r)] vi. 不同，相异；（在意见方面）发生分歧
scan	-
juvenile	|
preface	|
typical	[ˈtɪpɪkl] a. 典型的
ruthless	[ˈru:θləs] a. 无情的，冷酷的，残忍的
abhorrent	[əbˈhɒrənt] a. 可恶的，可恨的
underground	|
interfere	[ˏɪntəˈfɪə(r)] vi. 干涉，干扰，妨碍
enlighten	[ɪnˈlaɪtn] vt. 启发；开导；阐明
uniform	|
refrain	|
charcoal	[ˈtʃɑːkəul] n. 炭，木炭
volunteer	|
procession	[prəˈseʃn] n. 队伍，行列
plaster	[ˈplɑːstə(r)] n. 灰泥，石膏；膏药
curative	[ˈkjuərətɪv] a. 有疗效的；医疗的
crash	[kræʃ] v. 碰撞；冲，闯；倒下，坠落；发出撞击（或爆裂）声；垮台，破产  n. 碰撞；坠落，坠毁；破裂声，撞击声  a. 速成的
border	|
reception	[rɪˈsepʃn] n. 接收，接受；接待，招待会；接收效果
variant	|
clarity	[ˈklærətɪ] n. 清楚
mushroom	|
booming	['bu:mɪŋ] a. 发展迅速的；激增的
dictation	__ditation__ [dɪkˈteɪʃn] n. 听写
reinvigorate	__reinvagorate__ [ˌri:ɪn'vɪɡəreɪt] vt. 使重新振作；使恢复活力
psychiatric	[ˌsaɪkiˈætrɪk] a. 精神病的；治疗精神病的
overweight	|
ape	|
dairy	|
gather	[ˈgæðə(r)] v. 聚焦，集合，聚拢；收集，采集；逐渐增加；猜想，推测
doctoral	[ˈdɒktərəl] a. 博士的
migration	[maɪ'greɪʃn] n. 迁徙，移居，移民
condone	[kənˈdəun] v. 宽恕，赦免；纵容，容忍
incongruity	[ˌɪnkɒn'ɡru:ətɪ] n. 不和谐，不相称；不协调或不一致的事物
module	[ˈmɔdjuːl] n. 模块；模式；（航空器中的）舱；组件；单元
cameral	['kæmərəl] a. （立法机关）院的
silicon	[ˈsɪlɪkən] n. 硅
dissertation	[ˏdɪsəˈteɪʃn] n. 专题论文
permeate	[ˈpɜːmɪeɪt] v. 扩散，弥漫；渗透，渗入
appearance	[əˈpɪərəns] n. 出现；外观
magic	|
decade	[ˈdekeɪd] n. 十年，十年期
ceremony	[ˈserɪmənɪ] n. 典礼；仪式
inspire	[ɪnˈspaɪə(r)] vt. 鼓舞，激起；给……以灵感
as-for	as for; as to 至于，关于
burglar	[ˈbɜːglə(r)] n. 窃贼
righteous	[ˈraɪtʃəs] a. 正义的，正直的；公正的；正当的
existence	[ɪɡ'zɪstəns] n. 存在；生活（方式）
disrupt	[dɪsˈrʌpt] vt. 使中断；扰乱
deficit	[ˈdefɪsɪt] n. 不足额，赤字
accomplish	[əˈkʌmplɪʃ] vt. 达到（目的），完成（任务），实现（计划、诺言等）
bloom	|
adolescent	|
ritual	|
introduce	[ˏɪntrəˈdjuːs] vt. 介绍；传入，引进；提出；采用，推行
incident	[ˈɪnsɪdənt] n. 发生的事；事件，事变
frequent	[ˈfriːkwənt] a. 频繁的，常见的，常用的
exhaustible	[ɪg'zɔ:stəbl] a. 可耗尽的，会枯竭的
vigorous	[ˈvɪgərəs] a. 朝气蓬勃的；有力的
immune	[ɪˈmjuːn] a. 免疫的，有免疫力的；有抵抗力的；不受影响的；免除的，免除惩罚的，豁免的
reject	|
verification	[ˌverɪfɪ'keɪʃn] n. 确认
bankruptcy	[ˈbæŋkrʌptsi] n. 破产；彻底失败
rudimentary	[ˌru:dɪˈmentri] a. 基本的，初步的；未充分发展的，发育不成熟的；退化的
cable	|
anxious	[ˈæŋkʃəs] a. 渴望的；忧虑的
astrology	[əˈstrɔlədʒɪ] n. 占星学；占星术
migrate	[maɪˈgreɪt] v. （候鸟等）迁徙；移居
acquaintance	__acquaitance__ [əˈkweɪntəns] n. 熟人；认识，了解
nasty	[ˈnɑːstɪ] a. 令人讨厌的；不友好的，恶意的，下流的；恶劣的
dissatisfied	[dɪˈsætɪsfaɪd] a. 不满意的，不满足的
perception	[pəˈsepʃn] n. 看法；感觉；洞察力
access	|
wastage	[ˈweɪstɪdʒ] n. 消耗量；损耗；（雇员的）减员
recover	[rɪˈkʌvə(r)] v. 重新获得，重新得到；使复原，使康复；收回，换回
casualty	[ˈkæʒuəltɪ] n. 伤亡（人员），伤亡者；损失的东西；伤亡事故
enroll	[ɪn'rəʊl] v. 入学，登记；加入；招收
grim	[grɪm] a. 严厉的；可怕的；讨厌的
subsidiary	|
poll	|
edify	[ˈedɪfaɪ] v. 陶冶，教化；启发，启迪
conclude	[kənˈkluːd] v. 推断出；作结论
biometrics	[ˌbaɪəʊ'metrɪks] n. 生物测定学
troupe	[truːp] n. （演出的）班子，团，队；（尤指）马戏团，芭蕾舞团
calendar	[ˈkælɪndə(r)] n. 日历；月历；日程表
bent	[bent] a. 被弄弯的，弯曲的  n. 爱好，天赋
fibre	[ˈfaɪbə(r)] n. 纤维
however	|
migratory	['maɪgrətrɪ] a. 迁徙的，迁居的；流动的，游牧的
cruel	['kru:əl] a. 残忍的，残暴的
torrent	[ˈtɔrənt] n. 洪流；爆发；（讲话等的）连发
rot	|
tedious	[ˈtiːdɪəs] a. 冗长乏味的，单调的
racket	[ˈrækɪt] n. （网球、羽毛球等的）球拍
exhale	[eksˈheɪl] v. 呼出（气）；散发（气味、蒸气等）
sediment	__sedimant__ [ˈsedɪmənt] n. 沉淀物；沉积物（如沙、砾、石、泥等）
enrich	[ɪnˈrɪtʃ] vt. 充实，使丰富；使富裕
influence	|
historic	[hɪˈstɔrɪk] a. 有历史意义的；历史的，历史性的
anticipate	[ænˈtɪsɪpeɪt] v. 预期，预料，期望；先于……行动
excitement	[ɪkˈsaɪtmənt] n. 激动；兴奋；令人兴奋的事
hive	|
assimilate	[əˈsɪməleɪt] v. 吸收；使同化
fluctuate	[ˈflʌktʃueɪt] v. （使）涨落，（使）起伏；（使）变化
fitness	[ˈfɪtnəs] n. 健康；适合（某事物）
blade	[bleɪd] n. 刀片；桨叶；（草的）叶片
orchestra	[ˈɔːkɪstrə] n. 管弦乐队
adventurous	[ədˈventʃərəs] a. 喜欢冒险的，敢做敢为的；充满危险和刺激的，惊险的
embezzlement	[ɪm'bezlmənt] n. 贪污，盗用
burrow	|
classify	[ˈklæsɪfaɪ] vt. 把……归类，把……分级
object	|
meaningful	['mi:nɪŋfl] a. 有目的的；有意义的
signpost	|
auditorium	[ˏɔːdɪˈtɔːrɪəm] n. 礼堂；观众席
manor	[ˈmnə(r)] n. 领地，庄园
agenda	[əˈdʒendə] n. 议程；议程表
typhoon	[taɪˈfuːn] n. 台风
skip	[skɪp] v. 跳，蹦；漏过；逃学
connection	[kəˈnekʃn] n. 连接；关系
reproduce	[ˏriːprəˈdjuːs] v. 繁殖，生育；复制，仿造，翻版；再现，使……在脑海中重现
minimum	|
inheritance	[ɪn'herɪtəns] n. 遗传；继承，继承物；遗产，遗赠
barrier	[ˈbærɪə(r)] n. 栅栏；关卡，检票口；障碍，隔阂；屏障
coach	|
tease	|
elastic	|
subliminal	[ˏsʌbˈlɪmɪnl] a. 下意识的，潜意识的
excessive	[ɪkˈsesɪv] a. 过多的，极度的，过分的
insignificant	[ˏɪnsɪgˈnɪfɪkənt] a. 无关紧要的，无意义的
throughout	[θruːˈaut] prep. lad. 各处；遍及；在整个……期间
shilling	[ˈʃɪlɪŋ] n. 先令
democratic	[ˏdeməˈkrætɪk] a. 民主的，有民主精神的
departure	[dɪˈpɑːtʃə(r)] n. 离开，出发；背离，违反
explore	[ɪkˈsplɔː(r)] v. 探险，探索；仔细检查，探究
requisite	|
primitive	|
dizzy	[ˈdɪzɪ] a. 头晕目眩的，眩晕的；（使）人头晕的
translate	[træns'leɪt] v. 翻译
furious	[ˈfjuərɪəs] a. 狂怒的；激烈的
enterprise	[ˈentəpraɪz] n. 企业，公司；事业
thrive	[θraɪv] vi. 兴旺，繁荣
outdo	[ˏautˈduː] vt. 超越，胜过
mature	|
roller	[ˈrəulə(r)] n. 滚筒；滚轴
disagree	[ˏdɪsəˈgriː] v. 不同意；不一致
evacuate	[ɪˈvækjueɪt] v. 疏散；撤离
dynamic	[daɪˈnæmɪk] a. 动力的；活跃的，充满活力的，精力充沛的
data	[ˈdeɪtə] n. 数据；资料
microscope	__micorscope__ [ˈmaɪkrəskəup] n. 显微镜
ailment	[ˈeɪlmənt] n. （不严重的）疾病
classification	[ˏklæsɪfɪˈkeɪʃn] n. 分类；级别
pulverise	[ˈpʌlvəraɪz] vt. 碾磨成粉，粉碎
relative	|
territory	[ˈterətrɪ] n. 领土，版图；领域，范围
signal	|
induction	[ɪnˈdʌkʃn] n. 就职；归纳；感应
gauge	|
murky	[ˈmɜ:ki:] a. 浑浊的；黑暗的；朦胧的；隐晦的
commitment	[kə'mɪtmənt] n. 委托；许诺；承担义务
sequence	[ˈsiːkwəns] n. 一系列，一连串；顺序，次序
paralysis	[pəˈræləsɪs] n. 瘫痪，麻痹，中风
specification	[ˏspesɪfɪˈkeɪʃn] n. [常pl.] 规格，规范；明确说明；（产品等的）说明书
atmosphere	[ˈætməsfɪə(r)] n. 大气；气氛；环境
exploratory	[eksˈplɔ:rətɵrɪ] a. 探测的；勘探的；探索的
damage	|
sliver	_silver__ [ˈslɪvə(r)] n. 银；银器
dearth	[dɜːθ] n. 缺乏，短缺
isle	[aɪl] n. 小岛，岛
intent	|
premium	[ˈpriːmɪəm] a. 高级的，优质的；售价高的  n. （投保人向保险公司支付的）保险金；额外费用，加付款；奖品，赠品；额外津贴
meanwhile	[ˈmiːnwaɪl] ad. 与此同时
construction	[kənˈstrʌkʃn] n. 建造；建筑物；构造
aggressiveness	[ə'ɡresɪvnəs] n. 侵略；争斗；攻击
corps	[kɔː(r)] n. 部队；军团
outweigh	[ˏautˈweɪ] vt. 比……重；（在重要性、影响上）比……更重要；胜过，强于
twofold	|
subtropical	[ˏsʌbˈtrɔpɪkl] a. 亚热带的
exact	[ɪgˈzækt] a. 精确的；准确的
fabulous	[ˈfæbjuləs] a. 寓言式的；极为巨大的；极好的
abstract	|
optometrist	[ɒpˈtɒmətrɪst] n. 验光师，视力测定者
curtail	[kɜːˈteɪl] vt. 缩短，消减；剥夺
remote	[rɪˈməut] a. 远的，长久的；遥远的，偏僻的；远程的；关系疏远的，脱离的；绝少的，微乎其微的；孤高的，冷淡的
stripe	[straɪp] n. 条纹
detergent	|
advantage	[ədˈvɑːntɪdʒ] n. 优点；优势
cosmopolitan	|
judicious	[dʒuːˈdɪʃəs] a. 明智的；有见识的
export	|
client	[ˈklaɪənt] n. 委托人；顾客，客户
mantle	|
appear	[əˈpɪə(r)] v. 出现，显露，公开露面；出场，问世；仿佛，似乎
credential	[krəˈdenʃl] n. 证明书；（学历、资历）资格证书；证件
separate	|
haul	[hɔːl] vt. 用力拖；搬运
ancestral	[æn'sestrəl] a. 祖先的；祖传的
dispenser	[dɪˈspensə(r)] n. 药剂师，配药师；分配者，施予者；自动售货机
accommodation	[əˏkɔməˈdeɪʃn] n. 住处，膳宿；适应，调节
analyse	__analysis__ [ˈænəlaɪz] vt. 分析；分解
pedal	|
diversity	[daɪˈvɜːsətɪ] n. 多样性；差异
overdue	[ˏəuvəˈdjuː] a. 过期未付的；逾期的；过度的，过火的；迟到的，延误的
reconstruction	[ˌri:kən'strʌkʃn] n. 重建；再现
chase	[tʃeɪs] v. 追捕；追求；雕镂
treatise	[ˈtriːtɪz] n. 论文；专著
consolation	[ˏkɔnsəˈleɪʃn] n. 安慰；慰问
dialect	[ˈdaɪəlekt] n. 方言，土语
quote	|
dreadful	[ˈdredfl] a. 可怕的；令人不快的
stationary	[ˈsteɪʃənrɪ] a. 静止的，不动的，固定的；稳定的
cinematography	[ˌsɪnəməˈtɒgrəfi] n. 电影摄影术
bar	|
fusion	[ˈfjuːʒn] n. 熔化，熔合；聚变
feminism	[ˈfemɪnɪzəm] n. 男女平等主义；女权主义；女权运动
horizon	[həˈraɪzn] n. 地平线；范围；眼界
available	_available___ [əˈveɪləbl] a. 可获得的，可得到的；可用的；有空的
burgeon	[ˈbɜːdʒən] vi. 迅速成长；发展
enclose	[ɪnˈkləuz] vt. 围住；附上；把……装入信封
steer	[stɪə(r)] v. 引导；驾驶
originate	[əˈrɪdʒɪneɪt] v. 起源，发生；首创，创造
thunder	|
mention	[ˈmenʃn] n./v. 提及，说起
geology	[dʒɪˈɔlədʒɪ] n. 地质学；地质概况
degenerate	|
distribute	[dɪˈstrɪbjuːt] vt. 分发，分配，分送；散布，分布；分类，分区
pasture	|
benevolent	[bɪˈnevələnt] a. 善心的，仁心的
dose	[dəus] n. 剂量，一剂
unprejudiced	[ʌnˈpredʒədɪst] a. 无偏见的；公正的
upper	[ˈʌpə(r)] a. 上面的；地位较高的
greatly	[ˈgreɪtli] ad. 非常；很；极大地
sketch	|
fortnight	[ˈfɔːtnaɪt] n. 两星期，十四天
suppression	__supression__ [səˈpreʃn] n. 镇压，压制，抑制；扑灭
spring	|
current	|
confusion	[kənˈfjuːʒn] n. 困惑，糊涂；混淆；混乱，杂乱，无秩序状态，骚乱
hinder	[ˈhɪndə(r)] vt. 阻碍，妨碍
prospective	[prəˈspektɪv] a. 预期的；未来的；可能的
overview	[ˈəuvəvjuː] n. 综览，概述
zoological	[‚zəʊə'lɑdʒɪkl] a. 动物学的
simultaneous	[ˏsɪmlˈteɪnɪəs] a. 同时的，同时发生的，同时存在的；同步的
lead-to	lead to  导致，通向
disruptive	[dɪsˈrʌptɪv] a. 制造混乱的；分裂性的；破坏性的
install	[ɪnˈstɔːl] vt. 安顿，安置；安装，设置；正式任命，使正式就职
remarkable	[rɪˈmɑ:kəbl] a. 引人注目的，显著的，值得注意的；异常的，非凡的
configuration	__configuraion__ [kənˏfɪgəˈreɪʃn] n. 结构，配置；轮廓，外形
salinity	[sə'lɪnətɪ] n. 盐分，盐度
simulate	[ˈsɪmjuleɪt] vt. 模仿，模拟；假装，伪装；扮演
millennium	[mɪˈlenɪəm] n. 一千年，千禧年；（未来的）太平盛世
establish	[ɪˈstæblɪʃ] vt. 建立；确立；安置，使安居
sociology	[ˏsəusɪˈɔlədʒɪ] n. 社会学
latitude	[ˈlætɪtjuːd] n. 纬度；[pl.] 纬度地区；（言行等的）自由
shorthand	[ˈʃɔ:thænd] n. 速记法；速记
presuppose	[ˏpriːsəˈpəuz] vt. 预先假定……属实；认为，假设；以……为先决条件，以……为前提
download	[ˏdaunˈləud] v. 下载
lexicographer	[ˌleksɪˈkɒgrəfə(r)] n. 词典编纂者
insecure	[ˏɪnsɪˈkjuə(r)] a. 不安全的，不可靠的
besides	|
skim	[skɪm] v. 撇去；掠过，擦过；浏览，略读
substitution	[ˌsʌbstɪ'tju:ʃn] n. 代替，置换；代入法
insufficient	[ˏɪnsəˈfɪʃnt] a. 不足的，不够的
milestone	['maɪlstəʊn] n. 里程碑；转折点
scholar	[ˈskɔlə(r)] n. 学者；奖学金获得者
deduce	[dɪˈdjuːs] v. 演绎，推断
recommend	[ˏrekəˈmend] vt. 推荐；劝告；使受欢迎
discovery	[dɪˈskʌvərɪ] n. 发现
pump	|
oxide	[ˈɔksaɪd] n. 氧化物
renewable	[rɪˈnju:əbl] a. 可更新的，可再生的，可恢复的；可延长有效期的，可续期的
foam	|
arousal	[ə'raʊzl] n. 唤起，激起
capable	[ˈkeɪpəbl] a. 有能力的；能够的
divine	[dɪˈvaɪn] a. 神的；神授的，天赐的
conformity	[kən'fɔ:mɪtɪ] n. 符合，一致
elaboration	[ɪˌlæbə'reɪʃn] n. 精心之作；详尽阐述
deprive	[dɪˈpraɪv] vt. 剥夺；使丧失
stint	[stɪnt] n. 定量；限额
spot-on	spot on  恰好的（地），准确的（地）
cosmic	[ˈkɔzmɪk] a. 宇宙的
conform	[kənˈfɔːm] vi. 遵守，服从；适应，顺应；相一致，相符合
sophisticate	[sə'fɪstɪkeɪt] n. 久经世故的人；精通者
hostile	[ˈhɔstaɪl] a. 敌方的；不友善的；不利的
convey	[kənˈveɪ] vt. 传送，运送；表达，传递
dwindle	[ˈdwɪndl] v. （使）变小，（使）缩小
introvert	[ˈɪntrəvɜːt] n. 性格内向的人
database	['deɪtəbeɪs] n. 数据库
dispiriting	[dɪˈspɪrɪtɪŋ] a. 令人沮丧的，使人气馁的
administration	__adminstration__ [ədˏmɪnɪˈstreɪʃn] n. 管理（部门）；行政（机关）
insurance	[ɪnˈʃʊərəns] n. 保险；保险费；保险业
slope	|
comprehensive	[ˏkɔmprɪˈhensɪv] a. 全面的，广泛的；综合的；包容的
enquire	[ɪnˈkwaɪə(r)] v. 打听，询问；查问，调查
draft	|
slender	[ˈslendə(r)] a. 修长的，细长的，苗条的；微小的，微薄的
crawl	|
herbivore	[ˈhɜːbɪvɔː(r)] n. 食草动物
lavatory	[ˈlævətrɪ] n. 盥洗室，厕所
vernacular	|
dealer	[ˈdiːlə(r)] n. 商人，经销商
criticise	[ˈkrɪtɪsaɪz] v. 批评，非难，责备；评论
admit	[ədˈmɪt] v. 承认；准许……进入；准许……加入
exceed	[ɪkˈsiːd] v. 超过，胜过
misconception	[ˌmɪskənˈsepʃn] n. 误解，错误想法
routine	|
scent	|
positive	[ˈpɔzətɪv] a. 明确的；肯定的；积极的
fountain	[ˈfauntɪn] n. 喷泉
firm	|
fantastic	[fænˈtæstɪk] a. 极好的；荒诞的，奇异的；不切实际的
mutual	[ˈmjuːtʃuəl] a. 相互的；共同的
focus	|
consultant	[kənˈsʌltənt] n. 顾问；专科医生
competition	[ˏkɔmpəˈtɪʃn] n. 竞争；比赛
project	|
context	[ˈkɔntekst] n. 上下文；背景；环境
breed	|
jargon	[ˈdʒɑːgən] n. 行话，行业术语；黑话
stammer	|
cash	|
collate	[kəˈleɪt] vt. 对照；核对；整理（文件、书页等）
disrespectful	[ˌdɪsrɪ'spektfl] a. 失礼的，无礼的
electronic	[‚ɪlek'trɒnɪk] a. 电子的
muddle	|
overwork	|
gesture	|
slogan	[ˈsləugən] n. 标语，口号
delta	[ˈdeltə] n. 三角洲；希腊字母表的第四个字母
vanish	[ˈvænɪʃ] vi. 突然消失； 不复存在，消逝
assessment	[əˈsesmənt] n. 判定，评定；核定的付款额；看法，评价
inflict	[ɪnˈflɪkt] vt. 把……强加给，使遭受，使承受
annoy	[əˈnɔɪ] vt. 使烦恼；打搅
consecutive	[kənˈsekjutɪv] a. 连续不断的，连贯的
bay	[beɪ] n. 海湾
expectation	[ˏekspekˈteɪʃn] n. 期待，预期； [pl.] 前程，成功的前景
ensue	[ɪnˈsjuː] vi. 继而发生；接着发生
forthcoming	[ˏfɔːθˈkʌmɪŋ] a. 即将到来的
calibrate	[ˈkælɪbreɪt] vt. 标定，划分；校准刻度
memorandum	[ˏmeməˈrændəm] n. 备忘录，摘要
precedent	[ˈpresɪdənt] n. 先例，范例；惯例
removal	[rɪ'mu:vl] n. 除去；免职；搬迁
manual	|
differentiate	[ˏdɪfəˈrenʃɪeɪt] v. 区分，区别；差别对待，区别对待
revive	[rɪˈvaɪv] v. （使）苏醒，复活；重新使用
display	[dɪˈspleɪ] vt./n. 陈列，展览；显示，表现
demonstration	[ˏdemənˈstreɪʃn] n. 论证，证明；示范；显示，表露；示威游行
image	[ˈɪmɪdʒ] n. 形象；印象；图像
precede	[prɪˈsiːd] v. 领先，先于
incoming	|
underline	[ˏʌndəˈlaɪn] vt. 画线于……之下；强调
portable	[ˈpɔːtəbl] a. 便于携带的；手提式的
deliver	[dɪˈlɪvə(r)] v. 交付，递送；发表，表达；释放；接生
overall	[ˏəuvərˈɔːl] a. 全面的；全部的
exist	[ɪgˈzɪst] vi. 存在；生存
physician	[fɪˈzɪʃn] n. 内科医生，医师
chef	[ʃef] n. 厨师长，厨师
multiply	[ˈmʌltɪplaɪ] v. （使）增加，（使）繁殖；乘
consequent	[ˈkɔnsɪkwənt] a. 作为结果的；随之发生的
registration	[ˏredʒɪˈstreɪʃn] n. 登记，注册；（邮件等的）挂号；登记或注册的项目
applaud	[əˈplɔːd] v. （向……）鼓掌，喝彩；称赞
adequate	[ˈædɪkwət] a. 充足的；合适的，合格的
melt	[melt] v. （使）融化；（使）消散
spit	|
optical	[ˈɔptɪkl] a. 视力的；光学的
vegetation	[ˏvedʒɪˈteɪʃn] n. 植物，草木
blueprint	[ˈbluːprɪnt] n. 蓝图；方案
ignorant	[ˈɪgnərənt] a. 无知的；愚昧的
invalid	|
interpretation	[ɪnˌtɜ:prɪˈteɪʃn] n. 口译；解释，诠释；（表演、演奏的）艺术处理
fuse	|
subscribe	[səbˈskraɪb] v. 订阅，订购；申请，预订
occasion	|
raw-material	raw material [rɔːməˈtiəriəl] n. 原材料
outward	[ˈautwəd] a. 外面的；外表的，表面的
stuffy	[ˈstʌfɪ] a. 不透气的，（空气）不新鲜的，不通风的；乏味的
profitable	[ˈprɔfɪtəbl] a. 有利可图的，赚钱的；有益的
constituent	|
informant	[ɪnˈfɔ:mənt] n. 提供消息或情报的人，线人；提供资料的人
nuclear	[ˈnjuːklɪə(r)] a. 核能的，原子能的
eyesight	[ˈaɪsaɪt] n. 视力
contaminate	[kənˈtæmɪneɪt] n. 致污物，污染物
insulate	[ˈɪnsjuleɪt] vt. 使绝缘，使隔热，使隔音；隔离；使隔绝（以免受到影响）
irresistible	__irresitible__ [ˏɪrɪˈzɪstəbl] a. 无法抵抗的，不能压制的；不能自己的
match	|
antiquity	[ænˈtɪkwətɪ] n. 古，古老；古代；古人；古迹，古物
relax	[rɪ'læks] v. （使）放松
infer	[ɪnˈfɜː(r)] v. 推断，猜想
mount	|
regardless	[rɪˈgɑ:dləs] ad. 不顾后果地；无论如何
register	|
brochure	[ˈbrəʊʃə(r)] n. 小册子；说明书
supplementary	[ˏsʌplɪˈmentrɪ] a. 增补的，补充的
ignore	[ɪgˈnɔː(r)] vt. 不顾，不理，忽视
flexibility	__fexibility__ [ˌfleksə'bɪlətɪ] n. 柔韧，有弹性；柔顺，温顺；灵活性；适应性
untrustworthy	[ʌnˈtrʌstwɜ:ði] a. 不值得信任的，靠不住的
poultry	[ˈpəultrɪ] n. 家禽；禽肉
decapitate	[dɪˈkæpɪteɪt] vt. 斩首
subsidise	['sʌbsɪdaɪz] vt. 津贴，资助
heartless	['hɑ:tləs] a. 无情的，狠心的；无生气的，没精打采的
solemn	[ˈsɔləm] a. 庄严的，隆重的；严肃的，认真的
